,TC,IMPORTE,TOTAL MX,TOTAL SAT
1004,1.0,5344.76,6199.92,6199.92
1005,1.0,5152.17,5976.52,5976.52
1006,1.0,6300.0,6348.0,6348.0
1007,1.0,0.0,0.0,0.0
1008,1.0,5000.0,4766.5,4766.5
1009,1.0,0.0,0.0,0.0
1010,1.0,198.0,230.63,236.57
1011,1.0,0.0,0.0,0.0
1012,1.0,0.0,0.0,0.0
1013,1.0,0.0,0.0,0.0
1014,1.0,3048.0,3535.68,3535.68
1015,1.0,1139.12,1321.38,1321.38
1016,1.0,0.0,0.0,26134.68
1017,1.0,840.52,975.0,975.0
1018,1.0,0.0,0.0,260.5
1019,1.0,0.0,0.0,613.9
1020,1.0,4000.0,4640.0,4640.0
1021,1.0,445.3,514.0,514.0
1022,1.0,0.0,0.0,0.0
1023,1.0,0.0,0.0,0.0
1024,1.0,0.0,0.0,736.65
1025,1.0,0.0,0.0,0.0
1026,1.0,172.6,200.22,200.22
1027,1.0,336.9,391.93,398.99
1028,1.0,287.94,335.39,344.03
1029,1.0,0.0,0.0,0.0
1030,1.0,0.0,0.0,0.0
1031,1.0,0.0,0.0,0.0
1032,1.0,200.0,232.0,232.0
1033,1.0,1550.0,1798.0,1798.0
1034,1.0,2315.0,2685.4,2685.4
1035,1.0,0.0,0.0,0.0
1036,1.0,1265.2,1467.63,1467.63
1037,1.0,6598.23,7258.06,7258.06
1038,1.0,4725.73,5425.83,5425.83
1039,1.0,18075.82,19883.4,19883.4
1040,1.0,2398.0,2723.5,30000.0
1041,1.0,15679.06,17246.97,17246.97
1042,1.0,2.5,2.9,2.9
1043,1.0,0.0,0.0,0.0
1044,1.0,2000.0,1906.67,1906.67
1045,1.0,986.1,1143.88,1143.88
1046,1.0,4380.0,5080.8,5080.8
1047,1.0,13398.0,15541.68,15541.68
1048,1.0,1919.61,2226.75,2226.75
1049,1.0,2398.0,2723.5,28600.0
1050,1.0,1440.75,1671.27,1671.27
1051,1.0,0.0,0.0,0.0
1052,1.0,0.0,0.0,0.0
1053,1.0,2647.5,3071.1,3071.1
1054,1.0,6709.29,6709.29,6709.29
1055,1.0,13050.3,15138.35,15138.35
1056,1.0,0.0,0.0,0.0
1057,1.0,0.0,0.0,0.0
1058,1.0,0.0,0.0,0.0
1059,1.0,0.0,0.0,0.0
1060,1.0,0.0,0.0,0.0
1061,1.0,1437.0,1666.92,1666.92
1062,1.0,2374.0,2753.84,2753.84
1063,1.0,0.0,0.0,0.0
1064,1.0,0.0,0.0,0.0
1065,1.0,0.0,0.0,0.0
1066,1.0,1337.93,1552.0,1552.0
1067,1.0,476.73,553.01,553.01
1068,1.0,3206.64,3719.7,3719.7
1069,1.0,0.0,0.0,0.0
1070,1.0,0.0,0.0,0.0
